연번,총괄점,지점명,주소,전화번호,데이터 기준일
1,BNK경남은행,가음정지점,경남 창원시 성산구 대정로 36,055-801-0645,2023-07-26
2,BNK경남은행,경남대지점,경남 창원시 마산합포구 경남대학로 7,055-801-0773,2023-07-26
3,BNK경남은행,경남도청지점,경남 창원시 의창구 중앙대로 300,055-801-1707,2023-07-26
4,BNK경남은행,경남테크노파크지점,경남 창원시 의창구 창원대로 18번길 22,055-801-1126,2023-07-26
5,BNK경남은행,남마산지점,경남 창원시 마산합포구 해안대로 7,055-801-0678,2023-07-26
6,BNK경남은행,내서지점,경남 창원시 마산회원구 내서읍 삼계로 5,055-801-1846,2023-07-26
7,BNK경남은행,대방지점,경남 창원시 성산구 가양로 124번길 7,055-801-1950,2023-07-26
8,BNK경남은행,마산대학지점,경남 창원시 마산회원구 내서읍 함마대로 2640,055-801-1882,2023-07-26
9,BNK경남은행,마산법원지점,경남 창원시 마산합포구 완월동 7길 16,055-801-2130,2023-07-26
10,BNK경남은행,마산자유무역지점,경남 창원시 마산회원구 자유무역 1길 24,055-801-0200,2023-07-26
11,BNK경남은행,마산합포구청지점,경남 창원시 마산합포구 3·15대로 210,055-801-1041,2023-07-26
12,BNK경남은행,마산회원구청지점,경남 창원시 마산회원구 삼호로 63,055-801-1081,2023-07-26
13,BNK경남은행,메트로시티지점,경남 창원시 마산회원구 삼호로 80,055-801-2282,2023-07-26
14,BNK경남은행,명곡지점,경남 창원시 의창구 원이대로 265,055-801-0606,2023-07-26
15,BNK경남은행,반송동지점,경남 창원시 성산구 원이대로 473번길 26,055-801-0565,2023-07-26
16,BNK경남은행,봉곡동지점,경남 창원시 의창구 창이대로 309번길 9,055-801-1446,2023-07-26
17,BNK경남은행,봉암동지점,경남 창원시 마산회원구 양덕로 7-1,055-801-0804,2023-07-26
18,BNK경남은행,북면지점,경남 창원시 의창구 북면 감계리 233-1,055-801-1157,2023-07-26
19,BNK경남은행,산호동지점,경남 창원시 마산합포구 합포로 215,055-801-0344,2023-07-26
20,BNK경남은행,삼성창원병원지점,경남 창원시 마산회원구 팔용로 158,055-801-2316,2023-07-26
21,BNK경남은행,상남동지점,경남 창원시 성산구 상남로 60,055-801-1673,2023-07-26
22,BNK경남은행,석동지점,경남 창원시 진해구 진해대로 752,055-801-1537,2023-07-26
23,BNK경남은행,성산구청지점,경남 창원시 성산구 창원대로 1086,055-801-0982,2023-07-26
24,BNK경남은행,소계동지점,경남 창원시 의창구 소계로 84번길 3,055-801-0716,2023-07-26
25,BNK경남은행,소답동지점,경남 창원시 의창구 의안로 17번길 2,055-801-1502,2023-07-26
26,BNK경남은행,신촌동지점,경상남도 창원시 성산구 신촌동 33-7,055-286-0860,2023-07-26
27,BNK경남은행,양덕동지점,경남 창원시 마산회원구 양덕로 135,055-801-0315,2023-07-26
28,BNK경남은행,영업부,경남 창원시 마산회원구 3·15대로 642,055-290-8836,2023-07-26
29,BNK경남은행,용원지점,경남 창원시 진해구 용원서로 44,055-801-1905,2023-07-26
30,BNK경남은행,용지로지점,경남 창원시 의창구 용지로 226,055-801-1737,2023-07-26
31,BNK경남은행,월영마을지점,경남 창원시 마산합포구 가포순환로 33,055-801-0743,2023-07-26
32,BNK경남은행,유니시티지점,경남 창원시 의창구 중동중앙로 47,055-801-1795,2023-07-26
33,BNK경남은행,의창구청지점,경남 창원시 의창구 태복산로 15번길 8,055-801-1003,2023-07-26
34,BNK경남은행,중리지점,경남 창원시 마산회원구 내서읍 호원로 317,055-801-0904,2023-07-26
35,BNK경남은행,중앙동지점,경남 창원시 마산합포구 3·15대로 188,055-801-0419,2023-07-26
36,BNK경남은행,진동지점,경남 창원시 마산합포구 진동면 삼진의거대로 623,055-801-1611,2023-07-26
37,BNK경남은행,진해구청지점,경남 창원시 진해구 진해대로 1101,055-801-1102,2023-07-26
38,BNK경남은행,진해기업금융지점,경남 창원시 진해구 진해대로 1114번길 15,055-801-2252,2023-07-26
39,BNK경남은행,진해지점,경남 창원시 진해구 충장로 124,055-801-0462,2023-07-26
40,BNK경남은행,창동지점,경남 창원시 마산합포구 남성로 119,055-801-1189,2023-07-26
41,BNK경남은행,창신대학지점,경남 창원시 마산회원구 팔용로 262,055-801-0222,2023-07-26
42,BNK경남은행,창원공단지점,경남 창원시 성산구 공단로 230,055-801-2057,2023-07-26
43,BNK경남은행,창원대로지점,경남 창원시 의창구 창원대로 390,055-801-2221,2023-07-26
44,BNK경남은행,창원대산지점,경남 창원시 의창구 대산면 진산대로 355번길 14-16,055-801-1643,2023-07-26
45,BNK경남은행,창원법원지점,경남 창원시 성산구 창이대로 681,055-801-2114,2023-07-26
46,BNK경남은행,창원시설공단지점,경남 창원시 의창구 원이대로 45,055-801-1008,2023-07-26
47,BNK경남은행,창원시청지점,경남 창원시 의창구 중앙대로 151,055-801-0944,2023-07-26
48,BNK경남은행,창원영업부,경남 창원시 성산구 중앙대로 23,055-801-0115,2023-07-26
49,BNK경남은행,창원중앙지점,경남 창원시 의창구 원이대로 581,055-801-0845,2023-07-26
50,BNK경남은행,창원컨벤션센터지점,경남 창원시 의창구 원이대로 362,055-801-2026,2023-07-26
51,BNK경남은행,토월지점,경남 창원시 성산구 동산로 122,055-801-1591,2023-07-26
52,BNK경남은행,팔용동지점,경남 창원시 의창구 평산로 96,055-801-1988,2023-07-26
53,BNK경남은행,합성동지점,경남 창원시 마산회원구 3·15대로 792,055-801-0524,2023-07-26
54,BNK경남은행,회원동지점,경남 창원시 마산회원구 북성로 115,055-801-0375,2023-07-26
55,남창원새마을금고,본점,경남 창원시 의창구 창원천로 34,055-273-1617,2023-07-26
56,남창원새마을금고,성주지점,경남 창원시 성산구 대암로 247,055-273-1677,2023-07-26
57,동마산새마을금고,구암지점,경남 창원시 마산회원구 구암서 3길 62,055-295-4670,2023-07-26
58,동마산새마을금고,본점,경남 창원시 마산회원구 3·15대로 787,055-255-1101,2023-07-26
59,동부새마을금고,본점,경남 창원시 마산회원구 양덕북 2길 8,055-292-3058,2023-07-26
60,동부새마을금고,합성지점,경남 창원시 마산회원구 합성남 2길53,055-299-1125,2023-07-26
61,동부새마을금고,회원지점,경남 창원시 마산회원구 북성로 127,055-243-3058,2023-07-26
62,마산남부새마을금고,본점,경남 창원시 마산합포구 진동면 삼진의거대로 640,055-271-3390,2023-07-26
63,마산남부새마을금고,수정지점,경남 창원시 마산합포구 구산면 수정3길 1,055-271-3390,2023-07-26
64,마산새마을금고,본점,경남 창원시 마산회원구 양덕동2길 5,055-296-7011,2023-07-26
65,마산새마을금고,한일지점,경남 창원시 마산회원구 산호천동길 100,055-296-7012,2023-07-26
66,마창진새마을금고,내서지점,경남 창원시 마산회원구 내서읍 광려천동로21,055-232-6940,2023-07-26
67,마창진새마을금고,본점,경남 창원시 마산 회원구 북성로 349,055-294-9333,2023-07-26
68,마창진새마을금고,산호지점,경남 창원시 마산합포구 합포로 225,055-241-5056,2023-07-26
69,마창진새마을금고,삼계지점,경남 창원시 마산회원구 내서읍 삼계로 53,055-232-9085,2023-07-26
70,마창진새마을금고,해운지점,경남 창원시 마산합포구 3·15대로 1,055-247-3322,2023-07-26
71,반송새마을금고,내동지점,경남 창원시 성산구 연덕로 184번길 35,055-262-6365,2023-07-26
72,반송새마을금고,반지지점,경남 창원시 성산구 원이대로 393번길 31,055-276-8683,2023-07-26
73,반송새마을금고,본점,경남 창원시 성산구 반송로 148-18,055-262-8680,2023-07-26
74,반송새마을금고,사파지점,경남 창원시 성산구 동산로 162,055-267-3555,2023-07-26
75,반송새마을금고,용호지점,경남 창원시 의창구 용지로 153번길 12,055-285-1346,2023-07-26
76,반월중앙새마을금고,본점,경남 창원시 마산시 합포구 3.15대로 169,055-245-2161,2023-07-26
77,반월중앙새마을금고,완월지점,경남 창원시 마산합포구 고운로168,055-243-0338,2023-07-26
78,벧엘새마을금고,대방지점,경남 창원시 성산구 가양로124번길 11-7,055-281-4111,2023-07-26
79,벧엘새마을금고,본점,경남 창원시 성산구 원이대로 863번길 28,055-284-4111,2023-07-26
80,북창원새마을금고,명곡지점,경남 창원시 의창구 원이대로 189번길 34,055-238-2086,2023-07-26
81,북창원새마을금고,본점,경남 창원시 의창구 창이대로 197번길 10-7,055-238-4492,2023-07-26
82,북창원새마을금고,봉곡지점,경남 창원시 의창구 봉곡로 111번길 5,055-237-7131,2023-07-26
83,새진해새마을금고,마린푸르지오지점,경남 창원시 진해구 충장로 657번길 35,055-551-0314,2023-07-26
84,새진해새마을금고,본점,경남 창원시 진해구 충장로 299,055-551-0311,2023-07-26
85,새진해새마을금고,석동지점,경남 창원시 진해구 석동로 59,055-551-0740,2023-07-26
86,석전새마을금고,본점,경남 창원시 마산회원구 삼호로 231,055-251-3341,2023-07-26
87,양곡새마을금고,대림지점,경남 창원시 성산구 공단로 52,055-286-4221,2023-07-26
88,양곡새마을금고,본점,경남 창원시 성산구 신촌로 108,055-286-0221,2023-07-26
89,의창새마을금고,감계지점,경남 창원시 의창구 북면 감계로 306,055-291-3530,2023-07-26
90,의창새마을금고,도계지점,경남 창원시 의창구 도계로 61,055-277-2530,2023-07-26
91,의창새마을금고,본점,"경남 창원시 의창구 중동중앙로 47, 103호",055-299-0066,2023-07-26
92,의창새마을금고,소계지점,경남 창원시 의창구 소계로 93-1,055-299-8477,2023-07-26
93,의창새마을금고,소답지점,경남 창원시 의창구 읍성로 55,055-252-0088,2023-07-26
94,중부새마을금고,본점,경남 창원시 마산합포구 합포로 79-1,055-247-9693,2023-07-26
95,중부새마을금고,어시장지점,경남 창원시 마산합포구 어시장 7길41,055-246-0220,2023-07-26
96,중부새마을금고,합포지점,경남 창원시 마산합포구 합포동 5길 22,055-247-7742,2023-07-26
97,진해새마을금고,본점,경남 창원시 진해구 충장로 130,055-544-7123,2023-07-26
98,진해새마을금고,용원지점,경남 창원시 진해구 안청남로 34,055-542-7121,2023-07-26
99,진해새마을금고,중앙지점,경남 창원시 진해구 백구로 4-1,055-544-3517,2023-07-26
100,창원새마을금고,본점,경남 창원시 성산구 상남로 58번길 27,055-263-6800,2023-07-26
101,창원새마을금고,신월지점,경남 창원시 의창구 신월로 42,055-263-6801,2023-07-26
102,창원중앙새마을금고,본점,경남 창원시 성산구 마디미로 28,055-285-4441,2023-07-26
103,창원중앙새마을금고,안민지점,경남 창원시 성산구 안민안길 28,055-275-4441,2023-07-26
104,창원중앙새마을금고,중앙지점,경남 창원시 성산구 용지로113번길 25,055-284-4441,2023-07-26
105,경남가온신협,본점,경남 창원시 마산합포구 어시장1길 5,055-222-2891,2023-07-26
106,경남동부신협,대방지점,경남 창원시 성산구 가양로124번길 23,055-541-6006,2023-07-26
107,경남동부신협,본점,경남 창원시 진해구 동진로 143번길 2,055-551-8892,2023-07-26
108,경남동부신협,석동지점,경남 창원시 진해구 냉천로 72-1,055-541-0092,2023-07-26
109,경남동부신협,용원지점,경남 창원시 진해구 안청북로 33,055-552-6336,2023-07-26
110,경남동부신협,중앙지점,"경남 창원시 진해구 중원동로 66, 1층",055-545-2001,2023-07-26
111,경남마산신협,본점,경남 창원시 마산합포구 해안대로 1,055-221-2211,2023-07-26
112,경남마산신협,진동지점,경남 창원시 마산합포구 삼진의거대로 629,055-221-2871,2023-07-26
113,경남제일신협,가음정지점,경남 창원시 성산구 원이대로863번길 19,055-261-6047,2023-07-26
114,경남제일신협,본점,경남 창원시 성산구 원이대로 473번길 20-3,055-263-6863,2023-07-26
115,경남제일신협,상남지점,경남 창원시 성산구 상남로 132,055-343-0001,2023-07-26
116,경남중앙신협,가음점,경남 창원시 성산구 가음정로43번길 3,055-264-4110,2023-07-26
117,경남중앙신협,메트로점,경남 창원시 마산회원구 양덕서로 30,055-297-5110~2,2023-07-26
118,경남중앙신협,본점,경남 창원시 마산회원구 석전동8길 1,055-297-4111,2023-07-26
119,경남중앙신협,팔용점,경남 창원시 의창구 평산로 96,055-296-4111~3,2023-07-26
120,마산남성신협,본점,경남 창원시 마산합포구 몽고정길 47,055-245-4225,2023-07-26
121,마산남성신협,중앙점,경남 창원시 마산합포구 3.15대로 157,055-245-4222,2023-07-26
122,무학신협,본점,경남 창원시 마산합포구 3.15대로 712,055-292-6082,2023-07-26
123,무학신협,삼계지점,경남 창원시 마산회원구 내서읍삼계로 6,055-232-8540,2023-07-26
124,진해신협,본점,경남 창원시 진해구 중원로 83-1,055-545-5551,2023-07-26
125,창원늘푸른신협,본점,경남 창원시 마산합포구 합포서8길 1-2,055-244-5500,2023-07-26
126,창원늘푸른신협,용호지점,경남 창원시 의창구 원이대로587,055-244-5500,2023-07-26
127,창원미래신협,본점,경남 창원시 의창구 지귀로 22,055-288-2005,2023-07-26
128,창원미래신협,상남지점,경남 창원시 성산구 동산로 124,055-285-3304,2023-07-26
129,창원신협,도계본점,경남 창원시 의창구 원이대로 69번길 10-22,055-277-7033,2023-07-26
130,창원신협,유니시티지점,경남 창원시 의창구 중동로 46,055-292-7033,2023-07-26
131,회원신협,남부지점,경남 창원시 마산합포구 노산서18길 48,055-242-9400,2023-07-26
132,회원신협,본점,경남 창원시 마산회원구 회원남로 30,055-247-5800,2023-07-26
133,NH농협은행,경남도교육청(출),경남 창원시 의창구 중앙대로 241,055-263-8347,2023-07-26
134,NH농협은행,경남도청(출),경남 창원시 의창구 중앙대로300,055-283-2901,2023-07-26
135,NH농협은행,경남영업부,경남 창원시 의창구 원이대로 627,055-284-9526,2023-07-26
136,NH농협은행,경남테크노파크(출),경남 창원시 의창구 창원대로 18번길 22,055-293-3141,2023-07-26
137,NH농협은행,남양동지점,경남 창원시 성산구 대암로 40-18,055-284-1593,2023-07-26
138,NH농협은행,마산지점,경남 창원시 마산합포구 북성로 5,055-240-2000,2023-07-26
139,NH농협은행,마산합포구청(출),경남 창원시 마산합포구 3·15대로 210,055-224-1800,2023-07-26
140,NH농협은행,마산해안로지점,경남 창원시 마산합포구 오동동 14길 67,055-246-8056,2023-07-26
141,NH농협은행,마산회원구청(출),경남 창원시 마산회원구 삼호로 63,055-251-6910,2023-07-26
142,NH농협은행,창원법원출장소,경남 창원시 성산구 창이대로681,055-289-3391,2023-07-26
143,NH농협은행,반림지점,경남 창원시 성산구 반송로 181,055-289-8151,2023-07-26
144,NH농협은행,봉곡지점,경남 창원시 의창구 지귀로 12번길 35,055-210-5000,2023-07-26
145,NH농협은행,사파동지점,경남 창원시 성산구 동산로 156,055-212-6450,2023-07-26
146,NH농협은행,서상동지점,경남 창원시 의창구 서상로 12번길 39,055-296-0041,2023-07-26
147,NH농협은행,성산구청(출),경남 창원시 성산구 창원대로 1086,055-266-1708,2023-07-26
148,NH농협은행,신마산지점,경남 창원시 마산합포구 3·15대로 130,055-246-5123,2023-07-26
149,NH농협은행,의창구청(출),경남 창원시 의창구 태복산로 15번길 8,055-237-5212,2023-07-26
150,NH농협은행,장천동지점,경남 창원시 진해구 행암로 25,055-547-9251,2023-07-26
151,NH농협은행,진해구청(출),경남 창원시 진해구 진해대로 1101,055-545-2797,2023-07-26
152,NH농협은행,진해중앙지점,경남 창원시 진해구 벚꽃로 69,055-543-0011,2023-07-26
153,NH농협은행,진해지점,경남 창원시 진해구 충장로 347,055-544-6501,2023-07-26
154,NH농협은행,창원금융센터,경남 창원시 성산구 창원대로 726,055-285-9755,2023-07-26
155,NH농협은행,창원남지점,경남 창원시 성산구 원이대로 578,055-282-3622,2023-07-26
156,NH농협은행,창원대학교지점,경남 창원시 의창구 창원대학로 20,055-266-2874,2023-07-26
157,NH농협은행,창원상남지점,경남 창원시 성산구 마디미로 21번길 17,055-283-4880,2023-07-26
158,NH농협은행,창원시지부,경남 창원시 성산구 상남로 63,055-263-6270,2023-07-26
159,NH농협은행,창원시청(출),경남 창원시 의창구 중앙대로 151,055-261-8428,2023-07-26
160,NH농협은행,창원용지지점,경남 창원시 의창구 용지로 244,055-282-0123,2023-07-26
161,NH농협은행,창원중앙금융센터,경남 창원시 의창구 창원대로 397번길 14,055-238-6205,2023-07-26
162,NH농협은행,팔용동지점,경남 창원시 의창구 팔용로 448,055-255-3774,2023-07-26
163,NH농협은행,합성지점,경남 창원시 마산회원구 합성남로 23,055-298-6661,2023-07-26
164,구산농협,본점,경남 창원시 마산합포구 구산면 반동길 3,055-221-8221,2023-07-26
165,구산농협,수정지점,경남 창원시 마산합포구 구산면 구산로 555,055-222-1083,2023-07-26
166,남창원농협,가음정지점,경남 창원시 성산구 대정로 31-17,055-261-6116,2023-07-26
167,남창원농협,대남지점,경남 창원시 성산구 가양로 124번길 19,055-263-6114,2023-07-26
168,남창원농협,대방지점,경남 창원시 성산구 대정로 145,055-261-6122,2023-07-26
169,남창원농협,본점,경남 창원시 성산구 상남로 31,055-267-1221,2023-07-26
170,남창원농협,삼정자지점,경남 창원시 성산구 삼정자로51번길 3,055-263-6117,2023-07-26
171,남창원농협,신월지점,경남 창원시 의창구 상남로 192번길 41-7,055-261-6120,2023-07-26
172,남창원농협,안민지점,경남 창원시 성산구 안민안길5번길 9,055-261-6111,2023-07-26
173,남창원농협,용호지점,경남 창원시 의창구 창이대로460번길 16-1,055-282-9247,2023-07-26
174,남창원농협,유통센터지점,경남 창원시 성산구 가음로 100,055-264-0500,2023-07-26
175,남창원농협,토월지점,경남 창원시 성산구 동산로 88,055-267-1134,2023-07-26
176,남창원농협,한마음병원지점,경남 창원시 의창구 용동로57번길 8,055-267-1261,2023-07-26
177,내서농협,본점,경남 창원시 마산회원구 내서읍 광려천로 71,055-232-5959,2023-07-26
178,내서농협,삼계지점,경남 창원시 마산회원구 내서읍 삼계로 13,055-232-8980,2023-07-26
179,내서농협,상곡지점,경남 창원시 마산회원구 내서읍 상곡로 22,055-231-3961,2023-07-26
180,내서농협,옥정지점,경남 창원시 마산회원구 내서읍 호원로 194,055-232-6129,2023-07-26
181,내서농협,호계지점,경남 창원시 마산회원구 내서읍 호원로 307,055-231-5005,2023-07-26
182,대산농협,본점,경남 창원시 의창구 대산면 주남로 561,055-291-4641,2023-07-26
183,대산농협,우암지점,경남 창원시 의창구 대산면 우암로 24,055-259-3204,2023-07-26
184,대산농협,일동지점,경남 창원시 의창구 대산면 대산북로 537-1,055-291-4205,2023-07-26
185,동읍농협,모암지점,경남 창원시 의창구 동읍 동읍로 200,055-253-7535,2023-07-26
186,동읍농협,본점,경남 창원시 의창구 동읍 용잠로 21,055-291-3664,2023-07-26
